run_id,subject,session,band,fmin,fmax,channel_set,n_channels,win_sec,step_sec,time_center_s,acc_mean,n_trials,n_splits,elapsed_s,pipeline
10,1,7,delta,0.5,4.0,non_motor,13,1.0,0.2,2.12109375,0.5566265060240964,415,5,11.517305623999988,riem+svm_rbf_time_resolved
11,1,7,delta,0.5,4.0,non_motor,13,1.5,0.2,0.74609375,0.6698795180722892,415,5,9.326921104999997,riem+svm_rbf_time_resolved
11,1,7,delta,0.5,4.0,non_motor,13,1.5,0.2,0.94921875,0.6698795180722892,415,5,9.326921104999997,riem+svm_rbf_time_resolved
11,1,7,delta,0.5,4.0,non_motor,13,1.5,0.2,1.15234375,0.6168674698795181,415,5,9.326921104999997,riem+svm_rbf_time_resolved
11,1,7,delta,0.5,4.0,non_motor,13,1.5,0.2,1.35546875,0.5807228915662652,415,5,9.326921104999997,riem+svm_rbf_time_resolved
11,1,7,delta,0.5,4.0,non_motor,13,1.5,0.2,1.55859375,0.5662650602409638,415,5,9.326921104999997,riem+svm_rbf_time_resolved
11,1,7,delta,0.5,4.0,non_motor,13,1.5,0.2,1.76171875,0.6216867469879518,415,5,9.326921104999997,riem+svm_rbf_time_resolved
11,1,7,delta,0.5,4.0,non_motor,13,1.5,0.2,1.96484375,0.5903614457831325,415,5,9.326921104999997,riem+svm_rbf_time_resolved
12,1,7,delta,0.5,4.0,non_motor,13,2.0,0.2,0.99609375,0.674698795180723,415,5,5.084421788999975,riem+svm_rbf_time_resolved
12,1,7,delta,0.5,4.0,non_motor,13,2.0,0.2,1.19921875,0.6795180722891565,415,5,5.084421788999975,riem+svm_rbf_time_resolved
12,1,7,delta,0.5,4.0,non_motor,13,2.0,0.2,1.40234375,0.691566265060241,415,5,5.084421788999975,riem+svm_rbf_time_resolved
12,1,7,delta,0.5,4.0,non_motor,13,2.0,0.2,1.60546875,0.6385542168674698,415,5,5.084421788999975,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,0.24609375,0.5518072289156626,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,0.44921875,0.5469879518072289,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,0.65234375,0.49638554216867475,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,0.85546875,0.419277108433735,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,1.05859375,0.327710843373494,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,1.26171875,0.31084337349397584,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,1.46484375,0.33253012048192765,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,1.66796875,0.2963855421686747,415,5,19.06633597000001,riem+svm_rbf_time_resolved
13,1,7,delta,0.5,4.0,motor_17,17,0.5,0.2,1.87109375,0.3493975903614458,415,5,19.06633597000001,riem+svm_rbf_time_resolved
